prime_genre,user_rating,proportion
Utilities,4.5,38.61
Utilities,5.0,10.38
Weather,0.0,0.0
Weather,1.0,0.0
Weather,1.5,0.0
Weather,2.0,0.0
Weather,2.5,0.03
Weather,3.0,0.13
Weather,3.5,51.9
Weather,4.0,14.44
Weather,4.5,32.29
Weather,5.0,1.2
